Hour,Offered_Calls,Answered_Calls,Abandoned_Calls,Handle_Time,Service_Level,Average Speed of Answer (ASA),Abandon %,Service Level %,AHT,Occupancy %
2024-03-01 00:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 01:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 02:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 03:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 04:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 05:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 06:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 07:00:00,0,0,0,0.0,0.0,0.0,,0.0,0.0,0.0
2024-03-01 08:00:00,95,94,1,1213.8214285714287,0.42708214285714285,0.524063617,1.0526315789473684,42.708214285714284,1213.8214285714287,11.71334434179272
2024-03-01 09:00:00,395,395,0,4400.0,0.5710066666666667,2.7886484723333336,0.0,57.10066666666667,4400.0,32.47495729235104
2024-03-01 10:00:00,480,476,4,5742.4,0.45588333333333336,5.767353247133333,0.8333333333333334,45.58833333333334,5742.4,38.56210937072443
2024-03-01 11:00:00,532,530,2,6632.333333333333,0.41382,27.39505673376667,0.37593984962406013,41.382000000000005,6632.333333333333,42.026706857483234
2024-03-01 12:00:00,556,554,2,6745.833333333333,0.5485766666666667,8.246201429266668,0.3597122302158274,54.857666666666674,6745.833333333333,42.4406784530905
2024-03-01 13:00:00,520,519,1,6629.833333333333,0.5121300000000001,7.2585993492666665,0.19230769230769232,51.21300000000001,6629.833333333333,42.01752150557131
2024-03-01 14:00:00,504,503,1,6524.933333333333,0.6083333333333333,4.035972510066666,0.1984126984126984,60.83333333333333,6524.933333333333,41.62946318865563
2024-03-01 15:00:00,545,544,1,7054.9,0.5780733333333333,5.7850585943,0.1834862385321101,57.80733333333333,7054.9,43.53854845377978
2024-03-01 16:00:00,514,513,1,6996.0344827586205,0.4837,3.7914410706551727,0.19455252918287938,48.370000000000005,6996.0344827586205,43.33268622319444
2024-03-01 17:00:00,525,523,2,6643.133333333333,0.53288,4.870090476666666,0.38095238095238093,53.288000000000004,6643.133333333333,42.06635415877033
2024-03-01 18:00:00,522,511,11,6967.2,0.35670999999999997,18.326335128033335,2.10727969348659,35.671,6967.2,43.23129863423624
2024-03-01 19:00:00,465,457,8,6606.566666666667,0.41018666666666664,16.141742372633335,1.7204301075268817,41.01866666666666,6606.566666666667,41.93189669398455
2024-03-01 20:00:00,457,437,20,6918.310344827586,0.2984206896551724,45.4921156455862,4.3763676148796495,29.84206896551724,6918.310344827586,43.05856161873905
2024-03-01 21:00:00,361,359,2,6407.535714285715,0.41745714285714286,17.375883093892856,0.554016620498615,41.745714285714286,6407.535714285715,41.18896631158536
2024-03-01 22:00:00,329,325,4,6135.571428571428,0.3561642857142857,13.739920037357141,1.21580547112462,35.61642857142857,6135.571428571428,40.14251212466919
2024-03-01 23:00:00,15,15,0,766.3333333333334,0.3222222222222222,5.013888888888889,0.0,32.22222222222222,766.3333333333334,7.728846975722956
